TANGGAL,TAVG,RH_AVG,FF_AVG
01-04-2025,28.8,80,3
02-04-2025,27.6,74,3
03-04-2025,28.2,77,3
04-04-2025,27.9,87,3
05-04-2025,28.4,79,2
06-04-2025,28.4,84,3
07-04-2025,26.9,87,2
08-04-2025,27,86,2
09-04-2025,28.4,84,3
10-04-2025,28.3,85,2
11-04-2025,27.6,82,3
12-04-2025,29,81,2
13-04-2025,26.3,92,2
14-04-2025,27.9,83,3
15-04-2025,28.2,84,2
16-04-2025,28,85,3
17-04-2025,27.4,79,1
18-04-2025,28.9,80,2
19-04-2025,28.7,86,2
20-04-2025,27.8,83,1
21-04-2025,27.6,88,2
22-04-2025,28.2,86,2
23-04-2025,26.2,91,1
24-04-2025,27.9,87,1
25-04-2025,28.9,82,3
26-04-2025,29,80,2
27-04-2025,28.8,83,2
28-04-2025,29,82,3
29-04-2025,26.4,90,2
30-04-2025,29.7,74,3
01-05-2025,27.7,90,1
02-05-2025,27.8,89,2
03-05-2025,28.3,84,3
04-05-2025,28,83,2
05-05-2025,26.2,94,1
06-05-2025,28.7,88,2
07-05-2025,29,86,2
08-05-2025,29.7,81,1
09-05-2025,28.6,85,1
10-05-2025,27.5,90,2
11-05-2025,27.6,83,2
12-05-2025,28.7,86,1
13-05-2025,28.7,84,2
14-05-2025,27,86,1
15-05-2025,26.9,91,2
16-05-2025,27.9,81,2
17-05-2025,28.9,82,2
18-05-2025,27.6,88,1
19-05-2025,28.1,86,2
20-05-2025,29.1,85,2
21-05-2025,29.9,82,2
22-05-2025,28.9,78,1
23-05-2025,29.6,75,2
24-05-2025,29.1,85,2
25-05-2025,28.6,82,3
26-05-2025,29.7,77,2
27-05-2025,29.9,79,2
28-05-2025,30.1,79,3
29-05-2025,25.7,92,2
30-05-2025,27.9,85,2
